design_id,geom_key,typology,evaluated_stage,d_max_mm,cure_days,rh_pct,cure_label,split_mould,a,aperture_r,b,c,core_taper,face_shell,fillet_r,groove_depth,groove_pitch,groove_width,joint,n,n_cores,ovoid,pattern,t,wall,web,n_rules_param,n_fail_param,n_warn_param,feasible_param,failed_rules_param,warned_rules_param,mesh_watertight,mesh_euler,volume_mm3,volume_voxel_mm3,area_mm2,exposed_area_mm2,sa_to_vol_per_mm,max_wall_thickness_mm,mean_wall_thickness_mm,depth_mean_mm,depth_p95_mm,depth_max_mm,cavity_volume_mm3,voxel_pitch_mm,kt_family,notch_depth_mm,notch_root_radius_mm,meshed,mesh_error,min_section_p5_mm,min_section_min_mm,median_section_mm,n_ridge_voxels,kt,min_feature_nominal_mm,min_feature_measured_mm,section_over_dmax,score,score_lo,score_hi,score_mean,sub_aeration,sub_drying,sub_castability,sub_structural,dominant_failure_mode,failure_mode_text,penetration_depth_nom_mm,L_gas_nom_mm,L_dry_nom_mm,penetration_limiter,drying_ratio,cemented_fraction,min_feature_mm,n_mc,feasible,n_rules,n_fail,n_warn,failed_rules,warned_rules,material_volume_cm3
2304,block_000,block,geometry+score,2.0,14.0,90.0,14d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,15.0,8.867047564062558e-07,7.586878398312315e-12,0.01901770425191947,0.012485792492103569,3.850215729086246e-06,0.23030001921910315,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,2.6190476190476195,0.5383155618129408,30.0,250.0,False,15.0,1.0,2.0,penetration_coverage,void_fraction_band;thickness_vs_penetration,8913.208849335459
2306,block_000,block,geometry+score,2.0,21.0,85.0,21d/85%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,15.0,0.7746800114600463,6.315831154142228e-05,0.9975273768433653,0.6377926882488197,0.9966773732311711,0.7772625648644736,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,1.164021164021164,0.9936205098676704,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2305,block_000,block,geometry+score,2.0,28.0,90.0,28d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,15.0,0.6430662096022444,1.1040200667900417e-06,0.9975273768433653,0.5208716752947189,0.9872263126671039,0.6513868211888802,1.0,1.0,drying,cracking from uneven drying — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,1.3095238095238098,0.9595269276277215,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2307,block_000,block,geometry+score,3.0,14.0,90.0,14d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,10.0,8.867047564062558e-07,7.586878398312315e-12,0.01901770425191947,0.012485792492103569,3.850215729086246e-06,0.23030001921910315,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,2.6190476190476195,0.5383155618129408,30.0,250.0,False,15.0,1.0,2.0,penetration_coverage,void_fraction_band;thickness_vs_penetration,8913.208849335459
2309,block_000,block,geometry+score,3.0,21.0,85.0,21d/85%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,10.0,0.7746800114600463,6.315831154142228e-05,0.9975273768433653,0.6377926882488197,0.9966773732311711,0.7772625648644736,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,1.164021164021164,0.9936205098676704,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2308,block_000,block,geometry+score,3.0,28.0,90.0,28d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,10.0,0.6430662096022444,1.1040200667900417e-06,0.9975273768433653,0.5208716752947189,0.9872263126671039,0.6513868211888802,1.0,1.0,drying,cracking from uneven drying — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,1.3095238095238098,0.9595269276277215,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2310,block_000,block,geometry+score,4.0,14.0,90.0,14d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,7.5,7.916656202158806e-07,7.393080115519447e-12,0.01901770425191947,0.012433154804163724,3.850215729086246e-06,0.23030001921910315,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,2.6190476190476195,0.5383155618129408,30.0,250.0,False,15.0,1.0,2.0,penetration_coverage,void_fraction_band;thickness_vs_penetration,8913.208849335459
2312,block_000,block,geometry+score,4.0,21.0,85.0,21d/85%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,7.5,0.7408157634984484,6.311542318509621e-05,0.9975273768433653,0.6158762583411884,0.9966773732311711,0.7772625648644736,1.0,1.0,drying,cracking from uneven drying — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,1.164021164021164,0.9936205098676704,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2311,block_000,block,geometry+score,4.0,28.0,90.0,28d/90%RH,False,,,,,2.2,44.7,8.8,,,,,,3.0,,,,,36.8,10,0,1,True,,void_fraction_band,True,-4.0,8913208.849335458,8900593.75,503842.4223152512,541925.0,0.06088638749521626,55.0,21.692303037998073,10.846151518999037,20.0,27.5,0.0,2.5,peterson_shoulder,1.3883297923087008,8.8,True,,30.0,25.0,40.0,25805.0,1.7943922183052619,36.8,30.0,7.5,0.6143023718277826,1.0699058985825005e-06,0.9975273768433653,0.5036774303106577,0.9872263126671039,0.6513868211888802,1.0,1.0,drying,cracking from uneven drying — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,1.3095238095238098,0.9595269276277215,30.0,250.0,True,15.0,0.0,2.0,,void_fraction_band;thickness_vs_penetration,8913.208849335459
2313,block_001,block,geometry+score,2.0,14.0,90.0,14d/90%RH,False,,,,,0.4,25.1,13.0,,,,,,2.0,,,,,28.6,10,1,1,False,face_shell_min,draft_for_release,True,-2.0,5519725.573789506,5508406.25,468441.9837850506,508762.5,0.0923611071714255,40.0,14.961693531418199,7.480846765709099,12.5,20.0,0.0,2.5,peterson_shoulder,2.028325,13.0,True,,25.0,25.0,25.0,39712.0,1.79,25.1,25.0,12.5,0.03567118255351636,2.3937898207747224e-09,0.695624939143398,0.18271798477188905,0.09606595083403092,0.37131972612381625,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,1.904761904761905,0.7939569635046435,25.0,250.0,False,15.0,2.0,2.0,face_shell_min;penetration_coverage,draft_for_release;thickness_vs_penetration,5519.725573789507
